('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802467 function calls (780315 primitive calls) in 1.561 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       43    0.000    0.000    0.682    0.016 {method 'readline' of '_io.BufferedReader' objects}
       42    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       41    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
    41/22    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       39    0.000    0.000    0.000    0.000 _collections.py:300(add)
       39    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       39    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
       36    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1873(_split_scope_id)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
       32    0.000    0.000    0.002    0.000 element.py:1987(find)
    31/17    0.000    0.000    0.235    0.014 {built-in method builtins.__import__}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       29    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    27/24    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
       26    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
